#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-1130	Beta-catenin-lit-1 complex	wrm-1/lit-1 kinase complex	6239	Q10953(0)|Q9U9Y8(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2530676	GO:1902554(serine/threonine protein kinase complex)|GO:0009949(polarity specification of anterior/posterior axis)|GO:0004674(protein serine/threonine kinase activity)|GO:0016055(Wnt signaling pathway)	qsproteome:QS134037(identity)|intenz:2.7.11.24(identity)|pubmed:10380924(see-also)|pubmed:15066285(see-also)|complex portal:CPX-1130(complex-primary)	Serine/threonine protein kinase complex. Acts as an effector in the wnt signalling pathway to control the asymmetry of cell divisions in embryogenesis by down-regulating pop-1 activity. pop-1 is a protein related to the vertebrate TCF/LEF transcription factors, and is required for cell fate decisions and in particular, for anterior/posterior cell divisions. The complex regulates pop-1 localization and is required for the pop-1/par-5 interaction. Specifically lit-1 Interacts with wrm-1 (via N-terminus); activates lit-1 kinase activity and the lit-1/wrm-1 dimer phosphorylates pop-1 at Ser-118 and Ser-127. This promotes pop-1 interaction with par-5 and translocation of pop-1 from the nucleus to the cytoplasm.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q10953(0)|Q9U9Y8(0)
CPX-1131	Prmt-5-cep-1-cbp-1 complex	-	6239	P34545(0)|P46580(0)|Q20646(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0017053(transcriptional repressor complex)|GO:0008630(intrinsic apoptotic signaling pathway in response to DNA damage)|GO:0016274(protein-arginine N-methyltransferase activity)	qsproteome:QS134411(identity)|intenz:2.1.1.-(identity)|pubmed:19521535(see-also)|complex portal:CPX-1131(complex-primary)	Represses transcriptional activation in response to DNA damage. prmt-5 interacts with, but does not methylate, cep-1 and with cbp-1 which results in the methylation of cbp-1. Cep-1 transcriptional activity may be inhibited by its interaction with methylated cbp-1. The formation of this complex may prevent apoptosis by repressing the capacity of cbp-1 to enhance cep-1 dependent transcriptional activation of the programmed cell death activator egl-1. 	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P34545(0)|P46580(0)|Q20646(0)
CPX-1132	gls-1-gld-3 complex	-	6239	Q8I4M5(0)|Q95ZK7(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-14989639	GO:0010628(positive regulation of gene expression)|GO:0006417(regulation of translation)|GO:0045182(translation regulator activity)|GO:0018992(germ-line sex determination)|GO:0043186(P granule)	qsproteome:QS116507(identity)|pubmed:19461891(see-also)|complex portal:CPX-1132(complex-primary)	Translation regulator complex which, in early embryos, promotes the expression of mRNAs that encode germline survival factors. During hermaphrodite development, the complex promotes the sperm/oocyte switch by freeing the translational repressor fbf-1 to turn off sperm promoting factors. The complex is essential for germline survival during post-embryonic germline development. Upon dissociation of the complex, germ cells fail to survive into adulthood. 	gls-1 interacts with gld-3 in an RNA-independent manner.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q8I4M5(0)|Q95ZK7(0)
CPX-1135	Sand-1-ccz-1 complex	Mon1-Ccz1 complex|Ccz1-Mon1 complex	6239	Q9BI89(0)|Q9XVL8(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2656001	GO:0035658(Mon1-Ccz1 complex)|GO:0005085(guanyl-nucleotide exchange factor activity)	qsproteome:QS116465(identity)|pubmed:17203072(see-also)|pubmed:20434987(see-also)|complex portal:CPX-1135(complex-primary)	Critical role in maintaining proper vacuole morphology in vacuole delivery pathways by regulating fusion of vesicles with the vacuole at the tethering/docking stage. Regulates the SNARE complex during the coordinated priming and docking stages of fusion. Plays a role in endosome-lysosome fusion. The complex acts as an guanine nucleotide exchange factor for rab-7 to promote the activity of the HOPS complex (CPX-1136) in rab-5-to-rab-7 endosome conversion. May play a role in early-to-late endosome conversion.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q9BI89(0)|Q9XVL8(0)
CPX-1136	HOPS tethering complex	Homotypic fusion and vacuole protein sorting complex|Rab-7 GEF complex|VPS-C/HOPS complex	6239	P34260(0)|Q09600(0)|Q11182(0)|Q19954(0)|Q1ZXS5(0)|Q23194(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0030897(HOPS complex)|GO:0042144(vacuole fusion, non-autophagic)	pubmed:24501423(see-also)|pubmed:20434987(see-also)|complex portal:CPX-1136(complex-primary)	Multisubunit tethering complex involved in endo-lysosomal vesicle trafficking and lysosome biogenesis by cross-linking two membranes, and facilitating the formation of a SNARE complex during fusion. Required for the delivery of vacuolar proteins and homotypic fusion of vacuoles and controls the clearance of late endosomes and autophagosomes during heterophagy and autophagy through promoting fusion of these vesicles with the vacuole. Controls homotypic vacuole-vacuole fusion by regulating vesicle docking to the vacuole through its interaction with soluble SNAREs, the GTP-bound form of the Rab protein rab-7 and phosphoinositides. Proposed to be involved in the rab-5-to-rab-7 endosome conversion probably by the sand-1/ccz-1 complex (CPX-1135), and via binding SNAREs and SNARE complexes to mediate tethering and docking events during SNARE-mediated membrane fusion. Functions in late endosomes/lysosomes and during endosome maturation, replaces the early endosome tethering complex CORVET (CPX-1137).	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P34260(0)|Q09600(0)|Q11182(0)|Q19954(0)|Q1ZXS5(0)|Q23194(0)
CPX-1137	CORVET tethering complex	Class C core vacuole/endosome tethering complex	6239	A3QMB3(0)|Q09600(0)|Q11182(0)|Q18891(0)|Q23194(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0033263(CORVET complex)|GO:0031901(early endosome membrane)|GO:0032889(regulation of vacuole fusion, non-autophagic)|GO:0099022(vesicle tethering)	qsproteome:QS123964(identity)|pubmed:27558849(see-also)|pubmed:25273556(see-also)|complex portal:CPX-1137(complex-primary)	Multisubunit tethering complex involved in early endosomal fusions by cross-linking two membranes, and facilitating the formation of a SNARE complex during fusion.. Cooperates with Rab GTPases to capture vesicles and trap them prior to the action of SNAREs. During endosome maturation, it is replaced by the late endosomal/lysosomal HOPS complex (CPX-1136).	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	A3QMB3(0)|Q09600(0)|Q11182(0)|Q18891(0)|Q23194(0)
CPX-1138	RB1-E2F1-TFDP1 transcription repressor complex	E2F1-DP1-Rb complex|efl-1/dpl-1/lin-35 complex	6239	G5EDT1(0)|G5EF11(0)|Q22703(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15014108	GO:0006355(regulation of DNA-templated transcription)|GO:0035189(Rb-E2F complex)	qsproteome:QS116453(identity)|pubmed:11463372(see-also)|complex portal:CPX-1138(complex-primary)	Transcriptional repressor complex involved in the regulation of intestinal cell division during postembryonic development. lin-35 negatively regulates the G1-S transition by binding to the E2F1-DP1 transcription factor complex (CPX-965) and blocking the transactivation domain of efl-1. lin-35 dissociates from the complex following hyperphosphorylation by cyclin-dependent kinases. 	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EDT1(0)|G5EF11(0)|Q22703(0)
CPX-1145	E2F2-DP1 transcription factor complex	E2F2-DP1 complex	6239	A5HWA8(0)|Q22703(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2420683	GO:0042981(regulation of apoptotic process)|GO:0006357(regulation of transcription from RNA polymerase II promoter)|GO:0090575(RNA polymerase II transcription factor complex)	qsproteome:QS134036(identity)|pubmed:17881492(see-also)|pubmed:11463372(see-also)|complex portal:CPX-1145(complex-primary)	Probable transcription factor complex which binds DNA through the E2 recognition site, 5'-TTTC[CG]CGC-3', typically associated with the promoters of genes active in S phase, activating genes that stimulate DNA synthesis and cell cycle advancement. Regulates the expression of genes such as ced-3 and ced-4, which are involved in programmed cell death in germ cells.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	A5HWA8(0)|Q22703(0)
CPX-1146	RB1-E2F2-TFDP1 transcription repressor complex	-	6239	A5HWA8(0)|G5EDT1(0)|Q22703(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0006355(regulation of DNA-templated transcription)|GO:0035189(Rb-E2F complex)	qsproteome:QS121587(identity)|pubmed:11463372(see-also)|pubmed:17881492(see-also)|complex portal:CPX-1146(complex-primary)	Probably negatively regulates the G1-S transition by binding to the E2F2-DP1 complex (CPX-1145) and blocking the transactivation domain of efl-2. Lin-35 dissociates from the complex following hyperphosphorylation by cyclin-dependent kinases. Regulates the expression of genes such as ced-3 and ced-4, which are involved in programmed cell death in germ cells.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	A5HWA8(0)|G5EDT1(0)|Q22703(0)
CPX-1158	GABA-B receptor complex	Metabotropic GABA receptor|G-protein-coupled GABA receptor	6239	G5ECB2(0)|H2L0Q3(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0032223(negative regulation of synaptic transmission, cholinergic)|GO:0007186(G-protein coupled receptor signaling pathway)|GO:1902712(G-protein coupled GABA receptor complex)|GO:0004965(G-protein coupled GABA receptor activity)|GO:0030594(neurotransmitter receptor activity)|GO:0040012(regulation of locomotion)	qsproteome:QS117669(identity)|pubmed:18614679(see-also)|complex portal:CPX-1158(complex-primary)	G-protein-coupled, metabotropic transmembrane receptor for gamma-aminobutyric acid (GABA). Within the heterodimeric GABA receptor, only gbb-1 seems to bind agonists, while gbb-2 mediates coupling to G proteins. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase, stimulates phospholipase A2, activates potassium channels, inactivates voltage-dependent calcium-channels and modulates inositol phospholipid hydrolysis. Plays a critical role in the fine-tuning of inhibitory synaptic transmission. Pre-synaptic GABA receptor inhibits neurotransmitter release by down-regulating high-voltage activated calcium channels, whereas postsynaptic GABA receptor decreases neuronal excitability by activating a prominent inwardly rectifying potassium (Kir) conductance that underlies the late inhibitory postsynaptic potentials. May couple to the G(o) alpha G-protein goa-1 (P51875) to negatively regulate cholinergic receptor activity in the presence of high levels of acetylcholine in ventral cord motor neurons. As acetylcholine depolarizes body wall muscles, modulation of acetylcholine levels most likely results in the control of locomotory behavior.	May function as a heterodimer.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ECB2(0)|H2L0Q3(0)
CPX-1208	Kinesin II motor complex	-	6239	G5EEE6(1)|Q19633(1)|Q965T6(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0016939(kinesin II complex)|GO:0035720(intraciliary anterograde transport)|GO:0007018(microtubule-based movement)|GO:0008017(microtubule binding)	qsproteome:QS134040(identity)|pubmed:21917588(see-also)|pubmed:20498083(see-also)|pubmed:20833139(see-also)|complex portal:CPX-1208(complex-primary)	Motor complex required for intraflagellar transport (IFT) responsible for the formation and maintenance of the cilia. Together with the kinesin motor protein osm-3, the complex moves along microtubules and is required for anterograde IFT along the middle segment of the sensory neuron cilia.	Interacts (via C-terminus) with klp-11 (via C-terminus) to form a heterodimer. Furthermore, the C-terminals of klp-20 and klp-11 interact to form of a coiled coil (stalk), and this interaction is necessary for association with kap-1, and kinesin II motor complex activity. It is unclear if the klp-11/klp-20 dimer exists in vivo or whether it is always in complex with kap-1. Molecular mass is approximately 287kDa.	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EEE6(1)|Q19633(1)|Q965T6(1)
CPX-1214	GLD-2-GLD-3 complex	GLD-2-GLD-3 polyadenylation complex|GLD-2-GLD-3 RNA polymerase complex	6239	CHEBI:18420(0)|O17087(0)|Q95ZK7(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3891444	GO:0097747(RNA polymerase activity)|GO:0030880(RNA polymerase complex)|GO:0006397(mRNA processing)|GO:0060903(positive regulation of meiosis I)|GO:0045840(positive regulation of mitotic nuclear division)	wwpdb:4zrl(identity)|qsproteome:QS114971(identity)|pubmed:26124149(see-also)|pubmed:20823118(see-also)|pubmed:15454534(see-also)|pubmed:12239571(see-also)|intenz:2.7.7.19(identity)|complex portal:CPX-1214(complex-primary)	Cytoplasmic poly(A) RNA polymerase complex that adds successive AMP monomers to the 3-prime-end of germ-line-specific RNAs, forming a poly(A) tail, thus switching RNA from a translationally dormant state into a translationally active state. Acts as a regulator of mitosis/meiosis transition and is required to promote entry into meiosis from the mitotic cell cycle.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O17087(0)|Q95ZK7(0)
CPX-1271	Condensin I complex	-	6239	G5EFJ4(0)|G5EGE9(0)|Q09591(0)|Q20060(0)|Q9U2M1(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16425837	GO:0045132(meiotic chromosome segregation)|GO:0000070(mitotic sister chromatid segregation)|GO:0000796(condensin complex)	pubmed:19119011(see-also)|pubmed:28301465(see-also)|complex portal:CPX-1271(complex-primary)	Involved in chromosome segregation, both in meiosis and mitosis. Binds to autosomes of both sexes to promote chromosome segregation. Initially located in cytoplasm and associates with chromosomes after nuclear breakdown. Assembles in alternating pattern with Condensin II complex (CPX-1272) along metaphase chromosomes with fully resolved sister chromatids. Specifically, the complex is required for conversion of interphase chromatin into mitotic-like condense chromosomes. During meiosis, localizes to the region between paired homologs at meiosis I and between sister chromatids at meiosis II. In addition, the complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFJ4(0)|G5EGE9(0)|Q09591(0)|Q20060(0)|Q9U2M1(0)
CPX-1272	Condensin II complex	-	6239	P34341(0)|Q09591(0)|Q20060(0)|Q20818(0)|Q95Y84(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16425854	GO:0045132(meiotic chromosome segregation)|GO:0000070(mitotic sister chromatid segregation)|GO:0000796(condensin complex)	pubmed:19119011(see-also)|pubmed:28301465(see-also)|complex portal:CPX-1272(complex-primary)	Involved in chromosome condensation and segregation, both in meiosis and mitosis. Specifically, plays a role in prophase chromosome condensation and organization, where the complex concentrates on chromosomes when condensation initiates at prophase, and anaphase segregation. Almost exclusively found in the nucleus where it assembles in alternating pattern with Condensin I complex (CPX-1271) along metaphase chromosomes with fully resolved sister chromatids. During meiosis, localizes within the core of meiotic sister chromatids. 	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P34341(0)|Q09591(0)|Q20060(0)|Q20818(0)|Q95Y84(0)
CPX-1273	Condensin I-like dosage compensation complex	-	6239	G5EFJ4(0)|G5EGE9(0)|P48996(0)|Q09591(0)|Q9U2M1(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16425818	GO:0010629(negative regulation of gene expression)|GO:0046536(dosage compensation complex)|GO:0042464(dosage compensation by hypoactivation of X chromosome)|GO:0000805(X chromosome)	pubmed:18050416(see-also)|pubmed:19119011(see-also)|pubmed:28301465(see-also)|complex portal:CPX-1273(complex-primary)	Modulates chromosome and sex-specific gene expression. Binds to the two X chromosomes of hermaphrodites to negatively regulate transcription during interphase, and thus ensures that X-linked gene dosage from the X chromosome is equal to the single X in the XO males. In C.elegans, this complex does not appear to have mitotic function.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFJ4(0)|G5EGE9(0)|P48996(0)|Q09591(0)|Q9U2M1(0)
CPX-1289	Intraflagellar transport complex A	Intraflagellar transport complex A|IFT A complex|Intraflagellar transport particle A	6239	G5ECZ4(0)|G5EFW7(0)|P90757(0)|Q18859(0)|Q20255(0)|Q9BIA4(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	intact:EBI-16011523	GO:0060271(cilium assembly)|GO:0005929(cilium)|GO:0035721(intraciliary retrograde transport)|GO:0030991(intraciliary transport particle A)	pubmed:28479320(see-also)|pubmed:22922713(see-also)|complex portal:CPX-1289(complex-primary)	IFT particles, composed of the IFT-A and IFT-B (CPX-1290) complexes, enable bidirectional motility along axoneme microtubules essential for the formation (ciliogenesis) and maintenance of cilia that assemble within a membrane projection from the cell surface. Outward or anterograde movement from the cell body to the ciliary tip is powered by kinesin-2 while the inward or retrograde movement back to the cell body is powered by cytoplasmic Dynein-2 motor. May be required for ciliary entrance and transport of specific ciliary cargo proteins such as che-3 (Q19542) which are related to motility.	IFT particles form from the IFT-A and IFT-B sub-complexes.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ECZ4(0)|G5EFW7(0)|P90757(0)|Q18859(0)|Q20255(0)|Q9BIA4(0)
CPX-1290	Intraflagellar transport complex B	IFT-B complex	6239	A0A2C9C2L6(0)|A8DYR7(0)|G5ED37(0)|G5EDF6(0)|G5EGF0(0)|Q0G838(0)|Q17595(0)|Q22830(0)|Q6I6D4(0)|Q8I7G4(0)|Q8TA52(0)|Q93833(0)|Q95QT8(0)|Q9XUC2(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0060271(cilium assembly)|GO:0030992(intraciliary transport particle B)|GO:0042073(intraciliary transport)|GO:0005929(cilium)	pubmed:28479320(see-also)|complex portal:CPX-1290(complex-primary)	IFT particles, composed of the IFT-A (CPX-1289) and IFT-B complexes, enable bidirectional motility along axoneme microtubules essential for the formation (ciliogenesis) and maintenance of cilia that assemble within a membrane projection from the cell surface. Outward or anterograde movement from the cell body to the ciliary tip is powered by kinesin-2 while the inward or retrograde movement back to the cell body is powered by cytoplasmic Dynein-2 motor. May be required for ciliary entrance and transport of specific ciliary cargo proteins such as che-3 (Q19542) which are related to motility. 	IFT particles form from the IFT-A and IFT-B sub-complexes.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	A0A2C9C2L6(0)|A8DYR7(0)|G5ED37(0)|G5EDF6(0)|G5EGF0(0)|Q0G838(0)|Q17595(0)|Q22830(0)|Q6I6D4(0)|Q8I7G4(0)|Q8TA52(0)|Q93833(0)|Q95QT8(0)|Q9XUC2(0)
CPX-1357	RSA centrosome-targeting complex	RSA complex|RSA-PP2A complex	6239	CHEBI:29035(0)|G5EFV3(0)|G5EGK8(0)|O02217(0)|P91349(0)|Q09543(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1187468	GO:0007052(mitotic spindle organization)|GO:0005813(centrosome)|GO:0000159(protein phosphatase type 2A complex)|GO:0004721(phosphoprotein phosphatase activity)	pubmed:23336080(see-also)|qsproteome:QS123966(identity)|intenz:3.1.3.16(identity)|pubmed:17218259(see-also)|complex portal:CPX-1357(complex-primary)	Serine/threonie phosphatase complex specifically localized to the centrosome. Required for the regulation of microtubule outgrowth from centrosomes and also for mitotic spindle assembly by ensuring the stability of kinetochore microtubules. May regulate microtubule outgrowth from centrosomes by restricting the levels of the microtubule destabilizer klp-7 (Q9XU12) at centrosomes and mitotic spindle assembly by targeting the Aurora kinase activator tpxl-1 (G5EDE7) to centrosomes. rsa-2 is required to recruit rsa-1 to the centrosome, but both regulatory subunits rsa-1 and rsa-2 are required for targeting let-92 to the centrosome. Furthermore, rsa-2 may act as a linker protein, connecting the core centrosomal protein spd-5 to let-92 via rsa-1.	The complex consists of a common heterodimeric core enzyme, composed of catalytic subunit let-92 (serine/threonine protein phosphatase), and constant regulatory subunit paa-1, that associates with a variety of regulatory subunits which confer distinct properties to the holoenzyme. In this complex the core holoenzyme interacts with the regulatory subunits rsa-1, rsa-2 and spd-5.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFV3(0)|G5EGK8(0)|O02217(0)|P91349(0)|Q09543(0)
CPX-1358	ced-3-ced-4-mac-1 complex	-	6239	P30429(0)|P42573(0)|Q9NAG4(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16587378	GO:0008303(caspase complex)|GO:1900118(negative regulation of execution phase of apoptosis)	qsproteome:QS114883(identity)|intenz:3.4.22.60(identity)|pubmed:10101135(see-also)|complex portal:CPX-1358(complex-primary)|pubmed:10737940(see-also)	Complex plays a role in programmed cell death (apoptosis), preventing ced-4 and caspase ced-3-mediated apoptosis.	mac-1 contains ATP oligomerization domains which may mimic ced-4 molecules in the assembling complex and by incorporating into complex, prevent associated caspases from getting into close proximity, thus interfering with ced-4 function.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P30429(0)|P42573(0)|Q9NAG4(0)
CPX-1359	ced-4-ced-9-mac-1 complex	-	6239	P30429(0)|P41958(0)|Q9NAG4(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:1900118(negative regulation of execution phase of apoptosis)	qsproteome:QS115361(identity)|pubmed:10101135(see-also)|complex portal:CPX-1359(complex-primary)	Complex plays a role in programmed cell death (apoptosis) preventing ced-4-mediated apoptosis.	mac-1 contains ATP oligomerization domains which may mimic ced-4 molecules in the assembling complex and by incorporating into complex, prevent associated caspases from getting into close proximity, thus interfering with ced-4 function.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P30429(0)|P41958(0)|Q9NAG4(0)
CPX-1360	ced-3-ced-4 caspase complex	-	6239	P30429(8)|P42573(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15599029	GO:0004197(cysteine-type endopeptidase activity)|GO:0008303(caspase complex)	wwpdb:4M9S(identity)|wwpdb:4M9X(identity)|wwpdb:4M9Y(identity)|wwpdb:4M9Z(identity)|pubmed:24065769(see-also)|wwpdb:4M9R(identity)|pubmed:20434985(see-also)|complex portal:CPX-1360(complex-primary)|intenz:3.4.22.60(identity)	Cysteine protease complex that plays a major role in programmed cell death (apoptosis). In healthy cells, ced-4 is sequestered and inhibited within the ced-9-ced-4 complex (CPX-399). In response to cell death signals, egl-1 binds to and directly inhibits the activity of ced-9, releasing the cell death activator ced-4 from the ced-9-ced-4 complex (CPX-399). The released ced-4 dimer oligomerizes to form the ced-4 apoptosome and interacts with the ced-3 zymogen to form the ced-3-ced-4 complex. ced-4 interaction with ced-3 induces both the autoproteolytic cleavage of the ced-3 zymogen and caspase activity of the mature ced-3 caspase.	ced-3 interacts with octameric ced-4 (two ced-3 zymogens per one ced-4 octamer). Processed ced-3 also interacts with ced-4 octamer to form a stable holoenzyme. The funnel-shaped ced-4 apoptosome is a tetramer of dimers organized into three layers of ring structure. Octameric ced-4 binds to the L2 loop fragment of ced-3, whilst residues of ced-3 interact with a shallow surface pocket within the funnel-shaped structure of the ced-4 octamer.	Heterodecamer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P30429(8)|P42573(2)
CPX-1361	PP2A-RSA-1 phosphatase complex	-	6239	CHEBI:29035(0)|G5EGK8(0)|O02217(0)|Q09543(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0007052(mitotic spindle organization)|GO:0000159(protein phosphatase type 2A complex)|GO:0004721(phosphoprotein phosphatase activity)|GO:0005813(centrosome)	qsproteome:QS134035(identity)|pubmed:23336080(see-also)|intenz:3.1.3.16(identity)|complex portal:CPX-1361(complex-primary)	Serine/threonine phosphatase complex which, when present in the larger RSA centrosome-targeting complex (CPX-1357) is required for the regulation of microtubule outgrowth from centrosomes and also for mitotic spindle assembly by ensuring the stability of kinetochore microtubules. The complex is localized to the centrosome. In particular, the regulatory subunit rsa-1 recruits the core holoenzyme to the centrosome. 	The complex consists of a common heterodimeric core enzyme, composed of catalytic subunit let-92 (serine/threonine protein phosphatase), and constant regulatory subunit paa-1, that associates with a variety of regulatory subunits which confer distinct properties to the holoenzyme. In this complex the core holoenzyme interacts with the regulatory subunit rsa-1.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EGK8(0)|O02217(0)|Q09543(0)
CPX-1366	PP2A-SUR-6 phosphatase complex	Protein phosphatase 2A-SUR-6/B55 complex	6239	CHEBI:29035(0)|G5EDR3(0)|G5EGK8(0)|Q09543(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0000159(protein phosphatase type 2A complex)|GO:0040028(regulation of vulval development)|GO:0098534(centriole assembly)|GO:0004721(phosphoprotein phosphatase activity)	qsproteome:QS116457(identity)|pubmed:24192838(see-also)|pubmed:14724126(see-also)|pubmed:23336080(see-also)|intenz:3.1.3.16(identity)|pubmed:21497766(see-also)|complex portal:CPX-1366(complex-primary)|pubmed:21497765(see-also)	Serine/threonine phosphatase complex that acts as a regulator of centriole formation during mitosis. Associates with the SAS-5-SAS-6 complex (CPX-1374) and targets it to centrioles. The dephosphorylation of sas-5 by let-92 is required for the targeting of the SAS-5-SAS-6 complex (CPX-1374) to centrioles. Furthermore, the complex positively regulates centriole duplication during early embryonic cell divisions by preventing the degradation of sas-5 and kinase zyg-1 (Q9GT24). During vulva development, may play a role in the induction of vulva cell precursors by positively regulating let-60/Ras-MAP kinase signaling, probably by promoting lin-45 (Q07292) activation. In intestinal epithelial cells, may play a role in the late secretory pathway probably by regulating the exocyst, a protein complex involved in targeting secretory vesicles to the plasma membrane. 	The complex consists of a common heterodimeric core enzyme, composed of catalytic subunit let-92 (serine/threonine protein phosphatase), and constant regulatory subunit paa-1, that associates with a variety of regulatory subunits which confer distinct properties to the holoenzyme. In this complex, the core holoenzyme interacts with the regulatory subunit sur-6. Associates with the SAS-5-SAS-6 complex (CPX-1374) through interactions between sas-5 and let-92, and interactions between sas-6 and paa-1 and sur-6.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EDR3(0)|G5EGK8(0)|Q09543(0)
CPX-1367	PP2A-PPTR-1 phosphatase complex	-	6239	CHEBI:29035(0)|G5EGK8(0)|O18178(0)|Q09543(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0046627(negative regulation of insulin receptor signaling pathway)|GO:0000159(protein phosphatase type 2A complex)|GO:0004721(phosphoprotein phosphatase activity)	pubmed:19249087(see-also)|qsproteome:QS114887(identity)|pubmed:21127218(see-also)|pubmed:23336080(see-also)|complex portal:CPX-1367(complex-primary)	Serine/threonine phosphatase complex that negatively regulates the insulin receptor signaling cascade composed of daf-2 (Q968Y9), age-1 (Q94125), akt-1 (Q17941), akt-2 (Q9XTG7) and sgk-1 (Q2PJ68) by promoting the dephosphorylation of akt-1 on 'Thr-350'. Negatively regulates several functions controlled by the insulin pathway including dauer formation, lifespan, fat storage and stress resistance. In addition, the complex may play a role in the asymmetric segregation of the P granule components during embryonic cell divisions but does not play an essential role in specifying germ cell fate. 	The complex consists of a common heterodimeric core enzyme, composed of catalytic subunit let-92 (serine/threonine protein phosphatase), and constant regulatory subunit paa-1, that associates with a variety of regulatory subunits which confer distinct properties to the holoenzyme. In this complex the core holoenzyme interacts with the regulatory subunit pptr-1.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EGK8(0)|O18178(0)|Q09543(0)
